projectID,sprintId,status,storyId,issueKey,summary,priorityId,assignee,initialStoryPoint,currentStoryPoint
37,191,NotCompletedWithinSprint,12901140,AURORA-1503,Determine how best to keep up with Mesos releases,3,zmanji,3,3
37,197,Completed,12746611,AURORA-814,Migrate client off of deprecated SessionKey APIs,3,wfarner,3,3
37,197,Completed,12901140,AURORA-1503,Determine how best to keep up with Mesos releases,3,zmanji,3,3
37,197,Completed,12903476,AURORA-1515,Implement getJobUpdateDiff API without TaskConfig diff support,3,maximk,3,3
37,197,Completed,12903477,AURORA-1516,"Add update sequence into ""aurora job diff"" command",3,maximk,3,3
37,197,NotCompletedWithinSprint,12905643,AURORA-1522,ShiroAuthorizationInterceptor doesn't set thriftAPIVersion,3,null,0,0
37,203,Completed,12839636,AURORA-1364,Improve client error messages for Kerberos errors,4,maximk,0,2
37,203,Completed,12901981,AURORA-1510,ConcurrentModificationException in PreemptorService,2,zmanji,2,2
37,203,NotCompletedWithinSprint,12905643,AURORA-1522,ShiroAuthorizationInterceptor doesn't set thriftAPIVersion,3,null,0,0
37,203,CompletedInNotherSprint,12901982,AURORA-1511,PreemptorService failure does not trigger shutdown,3,zmanji,2,2
37,211,Completed,12818763,AURORA-1250,0.10.0 release candidate,3,zmanji,3,3
37,211,NotCompletedWithinSprint,12901444,AURORA-1506,Job updater does not handle DELETED tasks properly,3,maximk,5,5
37,212,Completed,12930247,AURORA-1582,Task History Pruning attempts can fail silently,3,zmanji,3,3
37,212,Completed,12930257,AURORA-1583,Consider changing killTasks RPC to be job-scoped,3,maximk,0,0
37,212,NotCompletedWithinSprint,12819021,AURORA-1258,Improve procedure for adding instances to a job,3,maximk,8,8
37,212,Punted,12929989,AURORA-1580,java.util.NoSuchElementException from Tasks.getLatestEvent with DbTaskStore,3,wfarner,8,0
37,220,Completed,12819021,AURORA-1258,Improve procedure for adding instances to a job,3,maximk,8,8
37,220,Completed,12934634,AURORA-1600,Job updates with large count of instance overrides halt scheduler perf,2,maximk,0,0
37,220,Completed,12935029,AURORA-1603,Scheduler fails to start after rollback,2,maximk,0,0
37,220,Completed,12935031,AURORA-1604,Identity.role is still used in the UI leading to duplicate instances on job page,3,maximk,0,0
37,220,Completed,12938554,AURORA-1614,Failed sandbox initialization can cause tasks to go LOST,4,joshua.cohen,3,3
37,220,NotCompletedWithinSprint,12936182,AURORA-1607,"Persistent ""Error accessing PooledConnection. Connection is invalid"" exceptions with DbTaskStore enabled",3,zmanji,0,0
37,220,CompletedInNotherSprint,12934139,AURORA-1596,Invalid connection error from MyBatis.,3,zmanji,0,0
37,223,Completed,12935315,AURORA-1605,Update recovery docs to reflect changes,4,maximk,0,0
37,243,Completed,12785257,AURORA-1222,Modify stats and SLA metrics to properly account for STARTING,3,kaih,0,0
37,243,Completed,12785259,AURORA-1223,"Modify scheduler updater to not use ""watch_secs"" for health-check enabled jobs",3,kaih,5,5
37,243,CompletedInNotherSprint,12860512,AURORA-1458,"Add tier into the UI ""show config"" summary",3,mnurolahzade,0,0
37,243,CompletedInNotherSprint,12965726,AURORA-1690,Allow for isolating the executor's filesystem from the task's,3,joshua.cohen,0,0
37,243,CompletedInNotherSprint,12977290,AURORA-1710,Make 'tier' required and remove support for 'production' flag in Job configuration,3,mnurolahzade,0,0
37,243,CompletedInNotherSprint,12984482,AURORA-1725,Expose tier configurations as a debug page ,4,mnurolahzade,0,0
37,250,Completed,12767535,AURORA-1014,Client binding_helper to resolve docker label to a stable ID at create,3,santhk,5,5
37,250,Completed,12785265,AURORA-1225,Modify executor state transition logic to rely on health checks (if enabled),3,santhk,0,0
37,250,Completed,12961936,AURORA-1681,Remove deprecated --restart-threshold option from 'aurora job restart',3,joshua.cohen,0,0
37,250,Completed,12964827,AURORA-1688,Change framework_name default value from 'TwitterScheduler' to 'aurora',3,santhk,0,0
37,250,Completed,13003872,AURORA-1767,Shell health checker is not namespace and taskfs aware,3,joshua.cohen,0,0
37,250,Completed,13004424,AURORA-1771,Consider scheduling multiple tasks per scheduling round,3,maximk,0,0
37,250,Completed,13006060,AURORA-1777,aurora_admin client unable to drain hosts,3,joshua.cohen,0,0
